page_id,slug,content,type,deleted_at,created_at,updated_at
1,banner_image,,2,,2018-12-11 06:57:51,2018-12-11 06:57:51
1,banner_text_header,,0,,2018-12-11 06:58:20,2018-12-11 06:58:20
1,banner_sub_text_header,,0,,2018-12-11 06:58:39,2018-12-11 06:58:39
1,bottom_2_text_header,,0,,2018-12-11 06:59:17,2018-12-11 06:59:17
1,bottom_2_text_sub,,0,,2018-12-11 06:59:36,2018-12-11 06:59:36
1,featured_product_bg,,2,,2018-12-11 07:03:43,2018-12-11 07:03:43
2,slider_banner1,,2,2018-12-11 07:35:19,2018-12-11 07:30:10,2018-12-11 07:35:19
2,slider_banner2,,2,2018-12-11 07:35:26,2018-12-11 07:30:24,2018-12-11 07:35:26
2,slider_banner3,,2,2018-12-11 07:35:29,2018-12-11 07:30:41,2018-12-11 07:35:29
2,banner_slider_text,,0,,2018-12-11 07:35:50,2018-12-11 07:35:50
2,banner_slider_subtext,,0,,2018-12-11 07:36:18,2018-12-11 07:36:18
2,about_us_frame2_text,,0,,2018-12-11 07:38:08,2018-12-11 07:38:08
2,about_us_frame2_info,,1,,2018-12-11 07:44:51,2018-12-11 07:46:04
2,partner,,2,2018-12-11 07:52:27,2018-12-11 07:52:03,2018-12-11 07:52:27
3,slider_text_header,,0,,2018-12-11 08:21:54,2018-12-11 08:21:54
3,slider_text_sub,,0,,2018-12-11 08:22:23,2018-12-11 08:22:23
4,warranty_banner,,2,,2018-12-11 08:31:35,2018-12-11 08:31:35
4,banner_header_text,,0,,2018-12-11 08:32:03,2018-12-11 08:32:03
4,banner_sub_text,,1,,2018-12-11 08:32:42,2018-12-11 08:33:30
4,policy,,1,,2018-12-11 08:40:37,2018-12-11 08:43:15
1,product_register,,2,,,
3,register_product,,2,,,
4,warranty_product_register,,2,,,
8,aham_logo,,2,,,
